Project Organization,Month Year,Total IC Amount
Civil & Architectural Engineering & Construction Management,2021-01,20291.45
Civil & Architectural Engineering & Construction Management,2021-02,31268.73
Civil & Architectural Engineering & Construction Management,2021-03,31462.46
Civil & Architectural Engineering & Construction Management,2021-04,33749.72
Civil & Architectural Engineering & Construction Management,2021-05,48839.82
Civil & Architectural Engineering & Construction Management,2021-06,81853.58
Civil & Architectural Engineering & Construction Management,2021-07,91596.6
Civil & Architectural Engineering & Construction Management,2021-08,84366.85
Civil & Architectural Engineering & Construction Management,2021-09,48877.11
Civil & Architectural Engineering & Construction Management,2021-10,46458.56
Civil & Architectural Engineering & Construction Management,2021-11,35328.4
Civil & Architectural Engineering & Construction Management,2021-12,43875.3
Civil & Architectural Engineering & Construction Management,2022-01,37633.24
Civil & Architectural Engineering & Construction Management,2022-02,35175.38
Civil & Architectural Engineering & Construction Management,2022-03,30763.03
Civil & Architectural Engineering & Construction Management,2022-04,27571.59
Civil & Architectural Engineering & Construction Management,2022-05,59827.86
Civil & Architectural Engineering & Construction Management,2022-06,54796.25
Civil & Architectural Engineering & Construction Management,2022-07,54627.96
Civil & Architectural Engineering & Construction Management,2022-08,34081.86
Civil & Architectural Engineering & Construction Management,2022-09,29353.61
Civil & Architectural Engineering & Construction Management,2022-10,16414.25
Civil & Architectural Engineering & Construction Management,2022-11,17422.16
Civil & Architectural Engineering & Construction Management,2022-12,24994.7
Civil & Architectural Engineering & Construction Management,2023-01,21626.41
Civil & Architectural Engineering & Construction Management,2023-02,24412.19
Civil & Architectural Engineering & Construction Management,2023-03,33654.8
Civil & Architectural Engineering & Construction Management,2023-04,25550.13
Civil & Architectural Engineering & Construction Management,2023-05,68732.12
Civil & Architectural Engineering & Construction Management,2023-06,40160.22
Civil & Architectural Engineering & Construction Management,2023-07,52161.99
Civil & Architectural Engineering & Construction Management,2023-08,26446.64
Civil & Architectural Engineering & Construction Management,2023-09,27630.49
Civil & Architectural Engineering & Construction Management,2023-10,25037.6
Civil & Architectural Engineering & Construction Management,2023-11,21849.99
Civil & Architectural Engineering & Construction Management,2023-12,-16638.71
Civil & Architectural Engineering & Construction Management,2024-01,26190.71
Civil & Architectural Engineering & Construction Management,2024-02,26483.12
Civil & Architectural Engineering & Construction Management,2024-03,14011.88
Civil & Architectural Engineering & Construction Management,2024-04,38265.3
Civil & Architectural Engineering & Construction Management,2024-05,122236.62
Civil & Architectural Engineering & Construction Management,2024-06,91945.98
Civil & Architectural Engineering & Construction Management,2024-07,104277.92
Civil & Architectural Engineering & Construction Management,2024-08,106973.22
Civil & Architectural Engineering & Construction Management,2024-09,71939.15
Civil & Architectural Engineering & Construction Management,2024-10,51078.99
Civil & Architectural Engineering & Construction Management,2024-11,42776.38
Civil & Architectural Engineering & Construction Management,2024-12,39927.37
Civil & Architectural Engineering & Construction Management,2025-01,35805.84
Civil & Architectural Engineering & Construction Management,2025-02,23138.79
Civil & Architectural Engineering & Construction Management,2025-03,21432.25
Civil & Architectural Engineering & Construction Management,2025-04,23749.13
Civil & Architectural Engineering & Construction Management,2025-05,38017.79
Civil & Architectural Engineering & Construction Management,2025-06,2225.24
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2023-09,4.02
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-03,4756
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-04,8584.03
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-07,691.27
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-08,1531.51
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-09,1260.4
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-10,2317.58
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-11,178.79
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2024-12,142.18
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2025-01,662.94
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2025-02,47.98
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2025-03,490.8
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2025-04,178.04
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2025-05,3056.13
"College of Agriculture, Life Sciences & Natural Resources Deans Office",2025-06,739.8
College of Business Deans Office,2023-08,1643.74
College of Business Deans Office,2023-09,457.99
College of Business Deans Office,2023-10,549.83
College of Business Deans Office,2023-11,448.13
College of Business Deans Office,2023-12,290.13
College of Business Deans Office,2024-01,261.12
College of Business Deans Office,2024-02,1107.96
College of Business Deans Office,2024-03,264.28
College of Business Deans Office,2024-04,261.12
College of Business Deans Office,2024-05,2233.72
College of Business Deans Office,2024-06,1549.62
College of Education Deans Office,2021-03,913.13
College of Education Deans Office,2021-05,231.68
College of Education Deans Office,2021-06,38.32
College of Education Deans Office,2021-08,1668.4
College of Education Deans Office,2021-09,1375.43
College of Education Deans Office,2021-10,4052.29
College of Education Deans Office,2021-11,538.96
College of Education Deans Office,2021-12,3774.08
College of Education Deans Office,2022-01,4122.88
College of Education Deans Office,2022-02,5172.26
College of Education Deans Office,2022-03,-15270.04
College of Education Deans Office,2022-04,1769.55
College of Education Deans Office,2022-05,118.73
College of Education Deans Office,2022-06,4461.48
College of Education Deans Office,2022-07,7808.07
College of Education Deans Office,2022-08,5520.17
College of Education Deans Office,2022-09,440.78
College of Education Deans Office,2022-10,479.99
College of Education Deans Office,2022-11,474.48
College of Education Deans Office,2022-12,11834.75
College of Education Deans Office,2023-01,52.18
College of Education Deans Office,2023-02,352.55
College of Education Deans Office,2023-03,434.47
College of Education Deans Office,2023-04,1050.64
College of Education Deans Office,2023-05,11380.04
College of Education Deans Office,2023-06,43809.74
College of Education Deans Office,2023-07,8210.27
College of Education Deans Office,2023-08,2575.5
College of Education Deans Office,2023-09,633.31
College of Education Deans Office,2023-10,503.85
College of Education Deans Office,2023-11,614.14
College of Education Deans Office,2023-12,408.25
College of Education Deans Office,2024-01,405.34
College of Education Deans Office,2024-02,417.21
College of Education Deans Office,2024-03,1911.23
College of Education Deans Office,2024-04,1009.84
College of Education Deans Office,2024-05,1359.76
College of Education Deans Office,2024-06,952.59
College of Education Deans Office,2024-07,1139.3
College of Education Deans Office,2024-08,660.35
College of Education Deans Office,2024-09,882.24
College of Education Deans Office,2024-10,528.22
College of Education Deans Office,2024-11,900.11
College of Education Deans Office,2024-12,481.92
College of Education Deans Office,2025-01,635.08
College of Education Deans Office,2025-02,836.84
College of Education Deans Office,2025-03,994.12
College of Education Deans Office,2025-04,721.79
College of Education Deans Office,2025-05,768.39
College of Education Deans Office,2025-06,3.53
College of Law Deans Office,2020-05,483.6
College of Law Deans Office,2020-06,10689.49
College of Law Deans Office,2020-07,6104.91
College of Law Deans Office,2020-08,10772.8
College of Law Deans Office,2020-09,8.57
College of Law Deans Office,2020-10,375.02
College of Law Deans Office,2020-11,1361.73
Communication Disorders,2014-09,270.53
Communication Disorders,2014-10,270.53
Communication Disorders,2014-11,270.53
Communication Disorders,2014-12,697.88
Communication Disorders,2015-03,2147.95
Communication Disorders,2015-04,4486.86
Communication Disorders,2015-05,2467.64
Communication Disorders,2015-06,3904.82
Communication Disorders,2015-07,98.58
Communication Disorders,2015-09,-2125
Communication Disorders,2015-11,701.89
Communication Disorders,2015-12,701.07
Communication Disorders,2016-01,3734.17
Communication Disorders,2016-02,2062.21
Communication Disorders,2016-03,756.9
Communication Disorders,2016-04,519.22
Communication Disorders,2016-05,2655.56
Communication Disorders,2016-06,2361.01
Communication Disorders,2016-07,474.14
Communication Disorders,2016-08,-66.6
Communication Disorders,2016-11,606.28
Communication Disorders,2016-12,682.14
Communication Disorders,2017-01,745.69
Communication Disorders,2017-02,1141.52
Communication Disorders,2017-03,1212.17
Communication Disorders,2017-04,1800.33
Communication Disorders,2017-05,1459.85
Communication Disorders,2017-06,5000.53
Communication Disorders,2017-09,412.75
Communication Disorders,2017-11,503.32
Communication Disorders,2017-12,51.95
Communication Disorders,2018-01,821.69
Communication Disorders,2018-02,254.69
Communication Disorders,2018-03,249.26
Communication Disorders,2018-04,303.15
Communication Disorders,2018-05,1406.25
Communication Disorders,2018-06,3137.69
Communication Disorders,2018-07,218.52
Communication Disorders,2019-03,3.03
Communication Disorders,2019-09,48.92
Communication Disorders,2019-10,124.8
Communication Disorders,2019-11,31.93
Communication Disorders,2019-12,68.88
Communication Disorders,2020-02,103.28
Communication Disorders,2020-03,120.96
Communication Disorders,2020-06,16.31
Communication Disorders,2020-07,5.47
Communication Disorders,2020-08,5.47
Communication Disorders,2020-09,995.48
Communication Disorders,2020-10,995.48
Communication Disorders,2020-11,995.48
Communication Disorders,2020-12,995.48
Communication Disorders,2021-01,1051.98
Communication Disorders,2021-02,1088.44
Communication Disorders,2021-03,109.36
Communication Disorders,2021-04,98.42
Communication Disorders,2021-05,54.68
Communication Disorders,2021-06,164.04
Communication Disorders,2021-07,101.57
Communication Disorders,2021-08,139.54
Communication Disorders,2021-09,1080.4
Communication Disorders,2021-10,1123.64
Communication Disorders,2021-11,1054.78
Communication Disorders,2021-12,1409.14
Communication Disorders,2022-01,41.63
Communication Disorders,2022-02,22.42
Communication Disorders,2024-08,2645.59
Communication Disorders,2024-11,160.4
Communication Disorders,2024-12,137.9
Communication Disorders,2025-01,6608.36
Communication Disorders,2025-02,3736.38
Communication Disorders,2025-03,1821.58
Communication Disorders,2025-04,2024.39
Communication Disorders,2025-05,1450.64
Computer Science,2016-04,7885
Computer Science,2016-05,1806.08
Computer Science,2016-06,21004.24
Computer Science,2016-07,2605.62
Computer Science,2016-08,516.58
Computer Science,2016-09,2718.96
Computer Science,2016-10,2487.85
Computer Science,2016-11,2326.48
Computer Science,2016-12,-4592.17
Computer Science,2017-01,775.68
Computer Science,2017-02,1551.35
Computer Science,2017-03,1551.35
Computer Science,2017-04,2171.78
Computer Science,2017-05,1551.35
Computer Science,2017-06,1551.35
Computer Science,2017-07,1608.34
Computer Science,2017-08,1141.38
Computer Science,2017-09,1608.34
Computer Science,2017-10,1608.34
Computer Science,2017-11,2364.97
Computer Science,2017-12,2599.72
Computer Science,2018-01,804.16
Computer Science,2018-02,1608.34
Computer Science,2018-03,1608.34
Computer Science,2018-04,14003.11
Computer Science,2018-05,2087.44
Computer Science,2018-06,804.17
Computer Science,2018-07,804.17
Computer Science,2018-08,544.76
Computer Science,2018-09,2324.47
Computer Science,2018-10,1819.99
Computer Science,2018-11,1608.34
Computer Science,2018-12,2759.55
Computer Science,2019-01,402.08
Computer Science,2019-02,2010.41
Computer Science,2019-03,-402.07
Computer Science,2019-04,804.17
Computer Science,2019-05,804.17
Computer Science,2019-07,512.59
Computer Science,2020-06,4006.48
Computer Science,2020-07,1378.02
Computer Science,2020-08,5307.59
Computer Science,2020-09,290.52
Computer Science,2021-06,5972.36
Counseling Leadership Advocacy & Design,2010-08,1281.95
Counseling Leadership Advocacy & Design,2010-09,1473.75
Counseling Leadership Advocacy & Design,2010-10,1887.11
Counseling Leadership Advocacy & Design,2010-11,1359.86
Counseling Leadership Advocacy & Design,2010-12,1463.1
Counseling Leadership Advocacy & Design,2011-01,892.59
Counseling Leadership Advocacy & Design,2011-02,1579.61
Counseling Leadership Advocacy & Design,2011-03,1106.65
Counseling Leadership Advocacy & Design,2011-04,1054.27
Counseling Leadership Advocacy & Design,2011-05,962.17
Counseling Leadership Advocacy & Design,2011-06,1734.63
Counseling Leadership Advocacy & Design,2011-07,813.1
Counseling Leadership Advocacy & Design,2011-08,1353.99
Counseling Leadership Advocacy & Design,2011-09,918.86
Counseling Leadership Advocacy & Design,2011-10,1036.7
Counseling Leadership Advocacy & Design,2011-11,1173.96
Counseling Leadership Advocacy & Design,2011-12,986.02
Counseling Leadership Advocacy & Design,2012-01,1144.96
Counseling Leadership Advocacy & Design,2012-02,1138.57
Counseling Leadership Advocacy & Design,2012-03,1377.34
Counseling Leadership Advocacy & Design,2012-04,1704.12
Counseling Leadership Advocacy & Design,2012-05,1286.8
Counseling Leadership Advocacy & Design,2012-06,566.17
Counseling Leadership Advocacy & Design,2018-10,181.02
Counseling Leadership Advocacy & Design,2019-01,1089.21
Counseling Leadership Advocacy & Design,2019-02,862.3
Counseling Leadership Advocacy & Design,2019-03,862.3
Counseling Leadership Advocacy & Design,2019-04,862.3
Counseling Leadership Advocacy & Design,2019-05,2556.42
Counseling Leadership Advocacy & Design,2019-06,1694.12
Counseling Leadership Advocacy & Design,2019-07,1619.62
Counseling Leadership Advocacy & Design,2019-08,1619.62
Counseling Leadership Advocacy & Design,2019-09,2418.64
Counseling Leadership Advocacy & Design,2019-10,2583.39
Counseling Leadership Advocacy & Design,2019-11,2343.01
Counseling Leadership Advocacy & Design,2019-12,2732.44
Counseling Leadership Advocacy & Design,2020-01,1900.42
Counseling Leadership Advocacy & Design,2020-02,1857.34
Counseling Leadership Advocacy & Design,2020-03,1843.75
Counseling Leadership Advocacy & Design,2020-04,1843.75
Counseling Leadership Advocacy & Design,2020-05,1843.75
Counseling Leadership Advocacy & Design,2020-06,1234.23
Counseling Leadership Advocacy & Design,2020-07,1038.95
Counseling Leadership Advocacy & Design,2020-08,414.67
Counseling Leadership Advocacy & Design,2020-09,414.67
Counseling Leadership Advocacy & Design,2020-10,628.27
Counseling Leadership Advocacy & Design,2020-11,414.67
Counseling Leadership Advocacy & Design,2020-12,414.67
Counseling Leadership Advocacy & Design,2021-01,414.67
Counseling Leadership Advocacy & Design,2021-02,414.67
Counseling Leadership Advocacy & Design,2021-03,414.67
Counseling Leadership Advocacy & Design,2021-04,414.67
Counseling Leadership Advocacy & Design,2021-05,414.67
Counseling Leadership Advocacy & Design,2021-06,414.67
Counseling Leadership Advocacy & Design,2021-07,416.29
Counseling Leadership Advocacy & Design,2021-08,2224.29
Counseling Leadership Advocacy & Design,2021-09,-1268.2
Counseling Leadership Advocacy & Design,2021-10,677.74
Counseling Leadership Advocacy & Design,2021-11,457.46
Counseling Leadership Advocacy & Design,2021-12,457.46
Counseling Leadership Advocacy & Design,2022-01,457.46
Counseling Leadership Advocacy & Design,2022-02,662.76
Counseling Leadership Advocacy & Design,2022-03,704.93
Counseling Leadership Advocacy & Design,2022-04,457.46
Counseling Leadership Advocacy & Design,2022-05,659.23
Counseling Leadership Advocacy & Design,2022-06,1355.17
Counseling Leadership Advocacy & Design,2023-07,211.96
Counseling Leadership Advocacy & Design,2023-09,1171.61
Criminal Justice & Sociology,2014-01,421.49
Criminal Justice & Sociology,2014-04,329.93
Criminal Justice & Sociology,2014-05,78.68
Criminal Justice & Sociology,2014-06,5513.72
Criminal Justice & Sociology,2014-09,1357.15
Criminal Justice & Sociology,2014-10,1667.87
Criminal Justice & Sociology,2014-11,1667.89
Criminal Justice & Sociology,2014-12,1280.28
Criminal Justice & Sociology,2015-01,873.26
Criminal Justice & Sociology,2015-06,1386.53
Criminal Justice & Sociology,2016-06,3259.88
Criminal Justice & Sociology,2016-07,3555.12
Criminal Justice & Sociology,2016-10,1280.57
Criminal Justice & Sociology,2018-09,245.22
Criminal Justice & Sociology,2018-10,229.84
Criminal Justice & Sociology,2018-11,765.31
Criminal Justice & Sociology,2018-12,526.37
Criminal Justice & Sociology,2019-02,1301.96
Criminal Justice & Sociology,2019-03,1392.24
Criminal Justice & Sociology,2019-04,1328.77
Criminal Justice & Sociology,2019-05,3781.81
Criminal Justice & Sociology,2019-10,41.95
Criminal Justice & Sociology,2019-12,30
Criminal Justice & Sociology,2020-01,255.21
Criminal Justice & Sociology,2020-02,389.17
Criminal Justice & Sociology,2020-03,314.31
Criminal Justice & Sociology,2020-04,226.3
Criminal Justice & Sociology,2020-05,209.2
Criminal Justice & Sociology,2020-06,3745.85
Criminal Justice & Sociology,2020-07,5403.98
Criminal Justice & Sociology,2020-08,2756.88
Criminal Justice & Sociology,2020-09,248.86
Criminal Justice & Sociology,2020-10,437.79
Criminal Justice & Sociology,2020-11,217.17
Criminal Justice & Sociology,2020-12,321.54
Criminal Justice & Sociology,2021-01,60.88
Criminal Justice & Sociology,2021-02,109.3
Criminal Justice & Sociology,2021-03,109.66
Criminal Justice & Sociology,2021-04,112.55
Criminal Justice & Sociology,2021-05,117.26
Criminal Justice & Sociology,2021-06,6671.41
Criminal Justice & Sociology,2021-07,0.25
Criminal Justice & Sociology,2022-07,2300.31
Criminal Justice & Sociology,2022-08,1132.54
Criminal Justice & Sociology,2022-09,219.74
Criminal Justice & Sociology,2022-10,617.6
Criminal Justice & Sociology,2022-11,388.54
Criminal Justice & Sociology,2022-12,466.29
Criminal Justice & Sociology,2023-01,320.04
Criminal Justice & Sociology,2023-02,273.04
Criminal Justice & Sociology,2023-03,416.25
Criminal Justice & Sociology,2023-04,410.96
Criminal Justice & Sociology,2023-05,997.95
Criminal Justice & Sociology,2023-06,1031.86
Criminal Justice & Sociology,2023-07,425.71
Criminal Justice & Sociology,2023-08,2910.95
Criminal Justice & Sociology,2023-09,531.74
Criminal Justice & Sociology,2023-10,453.95
Criminal Justice & Sociology,2023-11,445.7
Criminal Justice & Sociology,2023-12,593.23
Criminal Justice & Sociology,2024-01,2723.38
Criminal Justice & Sociology,2024-02,2774.11
Criminal Justice & Sociology,2024-03,2999.85
Criminal Justice & Sociology,2024-04,2882.11
Criminal Justice & Sociology,2024-05,3610.72
Criminal Justice & Sociology,2024-06,19350.86
Criminal Justice & Sociology,2024-07,699.06
Criminal Justice & Sociology,2024-08,12152.68
Criminal Justice & Sociology,2024-09,5393.2
Criminal Justice & Sociology,2024-10,4397.02
Criminal Justice & Sociology,2024-11,4937.83
Criminal Justice & Sociology,2024-12,5805.12
Criminal Justice & Sociology,2025-01,6303.68
Criminal Justice & Sociology,2025-02,6212.45
Criminal Justice & Sociology,2025-03,7128.23
Criminal Justice & Sociology,2025-04,6694.73
Criminal Justice & Sociology,2025-05,9327.39
Culture Gender & Social Justice,2019-09,1533.03
Culture Gender & Social Justice,2019-10,2980.48
Culture Gender & Social Justice,2019-11,7108.45
Culture Gender & Social Justice,2019-12,2416.86
Culture Gender & Social Justice,2020-01,1268.25
Culture Gender & Social Justice,2020-02,1811.44
Culture Gender & Social Justice,2020-03,1935.75
Culture Gender & Social Justice,2020-04,1401.75
Culture Gender & Social Justice,2020-05,1540.46
Culture Gender & Social Justice,2020-06,1268.25
Culture Gender & Social Justice,2020-07,1281.6
Culture Gender & Social Justice,2020-08,9682.1
Culture Gender & Social Justice,2020-09,2745.69
Culture Gender & Social Justice,2020-10,1509.2
Culture Gender & Social Justice,2020-11,1391.36
Culture Gender & Social Justice,2020-12,1971.66
Culture Gender & Social Justice,2021-01,1653.83
Culture Gender & Social Justice,2021-02,1433.14
Culture Gender & Social Justice,2021-03,1371.83
Culture Gender & Social Justice,2021-04,1373.87
Culture Gender & Social Justice,2021-05,1452.92
Culture Gender & Social Justice,2021-06,3488.78
Culture Gender & Social Justice,2021-07,1668.04
Culture Gender & Social Justice,2021-08,9278.5
Culture Gender & Social Justice,2021-09,2392.22
Culture Gender & Social Justice,2021-10,2295.39
Culture Gender & Social Justice,2021-11,2182.24
Culture Gender & Social Justice,2021-12,2182.24
Culture Gender & Social Justice,2022-01,2182.24
Culture Gender & Social Justice,2022-02,2182.24
Culture Gender & Social Justice,2022-03,2182.24
Culture Gender & Social Justice,2022-04,2558.6
Culture Gender & Social Justice,2022-05,2182.24
Culture Gender & Social Justice,2022-06,1579.71
Culture Gender & Social Justice,2022-07,1664.96
Culture Gender & Social Justice,2022-08,44.5
Culture Gender & Social Justice,2022-09,605.65
Culture Gender & Social Justice,2022-10,1535.2
Culture Gender & Social Justice,2022-11,1412.79
Culture Gender & Social Justice,2022-12,1375.05
Culture Gender & Social Justice,2023-01,1383.95
Culture Gender & Social Justice,2023-02,490.76
Culture Gender & Social Justice,2023-07,413.92
Culture Gender & Social Justice,2023-08,1343.01
Culture Gender & Social Justice,2023-09,2686.02
Culture Gender & Social Justice,2023-10,2313.18
Culture Gender & Social Justice,2023-11,1408.65
Culture Gender & Social Justice,2023-12,1621.25
Culture Gender & Social Justice,2024-01,10119.06
Culture Gender & Social Justice,2024-08,6720.5
Dean of Students Office,2015-01,-267
Dean of Students Office,2016-01,-180
Dean of Students Office,2020-10,30.48
Dean of Students Office,2020-11,539.8
Dean of Students Office,2020-12,54.88
EPSCoR/IDEA Office,2012-08,5714.12
EPSCoR/IDEA Office,2012-09,2412.96
EPSCoR/IDEA Office,2012-10,6987.79
EPSCoR/IDEA Office,2012-11,19376.07
EPSCoR/IDEA Office,2012-12,12430.5
EPSCoR/IDEA Office,2013-01,17019.32
EPSCoR/IDEA Office,2013-02,29410.28
EPSCoR/IDEA Office,2013-03,25844.91
EPSCoR/IDEA Office,2013-04,34928.72
EPSCoR/IDEA Office,2013-05,38037.78
EPSCoR/IDEA Office,2013-06,116949.26
EPSCoR/IDEA Office,2013-07,69607.68
EPSCoR/IDEA Office,2013-08,67878.53
EPSCoR/IDEA Office,2013-09,48328.5
EPSCoR/IDEA Office,2013-10,71455.44
EPSCoR/IDEA Office,2013-11,68302.7
EPSCoR/IDEA Office,2013-12,60053.77
EPSCoR/IDEA Office,2014-01,48966.52
EPSCoR/IDEA Office,2014-02,17022.38
EPSCoR/IDEA Office,2014-03,40041.76
EPSCoR/IDEA Office,2014-04,117020.12
EPSCoR/IDEA Office,2014-05,34044.92
EPSCoR/IDEA Office,2014-06,142695.53
EPSCoR/IDEA Office,2014-07,118706.47
EPSCoR/IDEA Office,2014-08,114920.22
EPSCoR/IDEA Office,2014-09,90586.05
EPSCoR/IDEA Office,2014-10,89553.68
EPSCoR/IDEA Office,2014-11,97617.85
EPSCoR/IDEA Office,2014-12,104059.42
EPSCoR/IDEA Office,2015-01,51459.24
EPSCoR/IDEA Office,2015-02,63407.18
EPSCoR/IDEA Office,2015-03,57812.11
EPSCoR/IDEA Office,2015-04,79493.91
EPSCoR/IDEA Office,2015-05,90790.83
EPSCoR/IDEA Office,2015-06,270731.98
EPSCoR/IDEA Office,2015-07,182536.27
EPSCoR/IDEA Office,2015-08,137209.79
EPSCoR/IDEA Office,2015-09,152281.43
EPSCoR/IDEA Office,2015-10,116124.53
EPSCoR/IDEA Office,2015-11,76770.4
EPSCoR/IDEA Office,2015-12,87715.78
EPSCoR/IDEA Office,2016-01,55334.06
EPSCoR/IDEA Office,2016-02,-12150.51
EPSCoR/IDEA Office,2016-03,-339248.62
EPSCoR/IDEA Office,2016-04,-47597.25
EPSCoR/IDEA Office,2016-05,-21139.73
EPSCoR/IDEA Office,2016-06,9220.24
EPSCoR/IDEA Office,2016-07,2797.48
EPSCoR/IDEA Office,2016-08,1540.4
EPSCoR/IDEA Office,2016-09,-200.47
EPSCoR/IDEA Office,2016-10,136.74
EPSCoR/IDEA Office,2016-11,715.32
EPSCoR/IDEA Office,2016-12,593.45
EPSCoR/IDEA Office,2017-01,1071.8
EPSCoR/IDEA Office,2017-02,415
EPSCoR/IDEA Office,2017-05,375.58
EPSCoR/IDEA Office,2017-06,24.86
EPSCoR/IDEA Office,2017-07,11.62
EPSCoR/IDEA Office,2017-08,287.72
EPSCoR/IDEA Office,2017-09,369.23
EPSCoR/IDEA Office,2017-10,977.63
EPSCoR/IDEA Office,2017-11,2622.72
EPSCoR/IDEA Office,2017-12,35523.78
EPSCoR/IDEA Office,2018-01,38678.67
EPSCoR/IDEA Office,2018-02,14703.2
EPSCoR/IDEA Office,2018-03,35740.42
EPSCoR/IDEA Office,2018-04,53265.6
EPSCoR/IDEA Office,2018-05,52173.49
EPSCoR/IDEA Office,2018-06,66846.62
EPSCoR/IDEA Office,2018-07,106738.31
EPSCoR/IDEA Office,2018-08,67210.66
EPSCoR/IDEA Office,2018-09,38160.48
EPSCoR/IDEA Office,2018-10,43771.78
EPSCoR/IDEA Office,2018-11,71220.48
EPSCoR/IDEA Office,2018-12,51009.79
EPSCoR/IDEA Office,2019-01,49479.89
EPSCoR/IDEA Office,2019-02,61542.5
EPSCoR/IDEA Office,2019-03,86637.17
EPSCoR/IDEA Office,2019-04,61791.66
EPSCoR/IDEA Office,2019-05,141448.41
EPSCoR/IDEA Office,2019-06,111175.8
EPSCoR/IDEA Office,2019-07,99268.7
EPSCoR/IDEA Office,2019-08,93138.35
EPSCoR/IDEA Office,2019-09,65568.35
EPSCoR/IDEA Office,2019-10,74532.93
EPSCoR/IDEA Office,2019-11,66002.43
EPSCoR/IDEA Office,2019-12,82210.17
EPSCoR/IDEA Office,2020-01,69680.86
EPSCoR/IDEA Office,2020-02,68438.73
EPSCoR/IDEA Office,2020-03,107218.06
EPSCoR/IDEA Office,2020-04,86584.37
EPSCoR/IDEA Office,2020-05,96056.88
EPSCoR/IDEA Office,2020-06,143194.91
EPSCoR/IDEA Office,2020-07,128709.9
EPSCoR/IDEA Office,2020-08,130013.95
EPSCoR/IDEA Office,2020-09,48622.16
EPSCoR/IDEA Office,2020-10,96128.71
EPSCoR/IDEA Office,2020-11,85330.13
EPSCoR/IDEA Office,2020-12,81970.15
EPSCoR/IDEA Office,2021-01,95522.64
EPSCoR/IDEA Office,2021-02,91162.51
EPSCoR/IDEA Office,2021-03,109296.86
EPSCoR/IDEA Office,2021-04,76080.52
EPSCoR/IDEA Office,2021-05,102444.6
EPSCoR/IDEA Office,2021-06,118727.12
EPSCoR/IDEA Office,2021-07,102459.37
EPSCoR/IDEA Office,2021-08,73235.54
EPSCoR/IDEA Office,2021-09,79258.39
EPSCoR/IDEA Office,2021-10,75386.83
EPSCoR/IDEA Office,2021-11,81946.21
EPSCoR/IDEA Office,2021-12,72832.62
EPSCoR/IDEA Office,2022-01,77895.69
EPSCoR/IDEA Office,2022-02,74982.99
EPSCoR/IDEA Office,2022-03,87387.64
EPSCoR/IDEA Office,2022-04,78826.38
EPSCoR/IDEA Office,2022-05,81278.41
EPSCoR/IDEA Office,2022-06,128957.32
EPSCoR/IDEA Office,2022-07,164070.37
EPSCoR/IDEA Office,2022-08,125422.51
EPSCoR/IDEA Office,2022-09,99688.79
EPSCoR/IDEA Office,2022-10,75391.74
EPSCoR/IDEA Office,2022-11,147858.98
EPSCoR/IDEA Office,2022-12,80789.25
EPSCoR/IDEA Office,2023-01,122279.21
EPSCoR/IDEA Office,2023-02,98320.48
EPSCoR/IDEA Office,2023-03,140009.54
EPSCoR/IDEA Office,2023-04,139853.32
EPSCoR/IDEA Office,2023-05,138434.73
EPSCoR/IDEA Office,2023-06,177044.35
EPSCoR/IDEA Office,2023-07,180984.78
EPSCoR/IDEA Office,2023-08,176684.46
EPSCoR/IDEA Office,2023-09,127513.49
EPSCoR/IDEA Office,2023-10,76834.34
EPSCoR/IDEA Office,2023-11,70970.75
EPSCoR/IDEA Office,2023-12,86624.15
EPSCoR/IDEA Office,2024-01,79829.38
EPSCoR/IDEA Office,2024-02,88525.61
EPSCoR/IDEA Office,2024-03,98288.92
EPSCoR/IDEA Office,2024-04,100092.43
EPSCoR/IDEA Office,2024-05,108911.28
EPSCoR/IDEA Office,2024-06,138927.37
EPSCoR/IDEA Office,2024-07,130983.33
EPSCoR/IDEA Office,2024-08,134085.33
EPSCoR/IDEA Office,2024-09,117490.89
EPSCoR/IDEA Office,2024-10,108292.88
EPSCoR/IDEA Office,2024-11,106137.02
EPSCoR/IDEA Office,2024-12,109625.2
EPSCoR/IDEA Office,2025-01,91276.18
EPSCoR/IDEA Office,2025-02,91789.77
EPSCoR/IDEA Office,2025-03,97626.43
EPSCoR/IDEA Office,2025-04,106503.37
EPSCoR/IDEA Office,2025-05,123404.79
EPSCoR/IDEA Office,2025-06,665.88
Economics,2014-09,1510.35
Economics,2014-10,3000.72
Economics,2014-11,1607.24
Economics,2014-12,2220.36
Economics,2015-01,1007.55
Economics,2015-02,1012.83
Economics,2015-03,1012.83
Economics,2015-04,1012.83
