"Project Organization","Expenditure Month Year","Total Expenditure Amount"
"AVP for Economic Development Office","2024-10",2188.26
"Academic Technology Services","2022-08",77.84
"Accounting & Finance","2022-03",211.64
"Accounting & Finance","2022-04",21.9
"Accounting & Finance","2022-05",519.72
"Accounting & Finance","2022-06",8307.14
"Accounting & Finance","2022-07",631.8
"Accounting & Finance","2022-08",77.66
"Accounting & Finance","2022-09",537.03
"Accounting & Finance","2022-10",1043.54
"Accounting & Finance","2022-11",243.75
"Accounting & Finance","2022-12",514.14
"Accounting & Finance","2023-05",2373.37
"Accounting & Finance","2023-06",148.2
"Accounting & Finance","2023-07",13539.58
"Accounting & Finance","2023-08",695.3
"Accounting & Finance","2023-09",1764.39
"Accounting & Finance","2023-10",1491.81
"Accounting & Finance","2023-11",9450.89
"Accounting & Finance","2023-12",6058.28
"Accounting & Finance","2024-01",26.99
"Accounting & Finance","2024-02",4415.64
"Accounting & Finance","2024-03",410.32
"Accounting & Finance","2024-04",458.82
"Accounting & Finance","2024-05",14532.31
"Accounting & Finance","2024-06",1028.34
"Accounting & Finance","2024-07",35.88
"Accounting & Finance","2024-08",583.29
"Accounting & Finance","2024-09",9.67
"Accounting & Finance","2024-10",338.42
"Accounting & Finance","2024-11",8180.27
"Accounting & Finance","2024-12",14777.61
"Accounting & Finance","2025-01",29.34
"Accounting & Finance","2025-02",120.62
"Accounting & Finance","2025-03",353.39
"Accounting & Finance","2025-04",410.08
"Accounting & Finance","2025-05",61.42
"Agricultural Experiment Station","2022-10",97.99
"Agricultural Experiment Station","2022-12",92.5
"Agricultural Experiment Station","2023-03",20.4
"Agricultural Experiment Station","2023-04",4.29
"Agricultural Experiment Station","2023-05",66.64
"Agricultural Experiment Station","2023-06",9.92
"Agricultural Experiment Station","2023-07",14.44
"Agricultural Experiment Station","2023-08",1.84
"Agricultural Experiment Station","2023-11",2.58
"Agricultural Experiment Station","2023-12",15.93
"Agricultural Experiment Station","2024-01",57.03
"Agricultural Experiment Station","2024-02",67.76
"Agriculture & Applied Economics","2021-07",1402.36
"Agriculture & Applied Economics","2021-08",1937.45
"Agriculture & Applied Economics","2021-09",7198.76
"Agriculture & Applied Economics","2021-10",1259.79
"Agriculture & Applied Economics","2021-11",6391.92
"Agriculture & Applied Economics","2021-12",320.97
"Agriculture & Applied Economics","2022-01",1222.67
"Agriculture & Applied Economics","2022-02",1777.62
"Agriculture & Applied Economics","2022-03",2601.86
"Agriculture & Applied Economics","2022-04",1584.06
"Agriculture & Applied Economics","2022-05",7456.99
"Agriculture & Applied Economics","2022-06",1132.05
"Agriculture & Applied Economics","2022-07",1581.55
"Agriculture & Applied Economics","2022-08",1001.38
"Agriculture & Applied Economics","2022-09",22795.36
"Agriculture & Applied Economics","2022-10",1839.65
"Agriculture & Applied Economics","2022-11",1402.59
"Agriculture & Applied Economics","2022-12",707.39
"Agriculture & Applied Economics","2023-01",983.8
"Agriculture & Applied Economics","2023-02",855.87
"Agriculture & Applied Economics","2023-03",1107.12
"Agriculture & Applied Economics","2023-04",873.48
"Agriculture & Applied Economics","2023-05",587.93
"Agriculture & Applied Economics","2023-06",9988.57
"Agriculture & Applied Economics","2023-07",3832.51
"Agriculture & Applied Economics","2023-08",8175.05
"Agriculture & Applied Economics","2023-09",1420.95
"Agriculture & Applied Economics","2023-10",3020.64
"Agriculture & Applied Economics","2023-11",812.08
"Agriculture & Applied Economics","2023-12",983.69
"Agriculture & Applied Economics","2024-01",3000.84
"Agriculture & Applied Economics","2024-02",4551.56
"Agriculture & Applied Economics","2024-03",4883.61
"Agriculture & Applied Economics","2024-04",7525.95
"Agriculture & Applied Economics","2024-05",3528.41
"Agriculture & Applied Economics","2024-06",2601.46
"Agriculture & Applied Economics","2024-07",20392.98
"Agriculture & Applied Economics","2024-08",23894.08
"Agriculture & Applied Economics","2024-09",11278.73
"Agriculture & Applied Economics","2024-10",1190.05
"Agriculture & Applied Economics","2024-11",1958.76
"Agriculture & Applied Economics","2024-12",1998.8
"Agriculture & Applied Economics","2025-01",1195.04
"Agriculture & Applied Economics","2025-02",1010.74
"Agriculture & Applied Economics","2025-03",1081.92
"Agriculture & Applied Economics","2025-04",-6150.89
"Agriculture & Applied Economics","2025-05",7278.4
"Albany Community Health Clinic","2021-07",21018.52
"Albany Community Health Clinic","2021-08",18604.76
"Albany Community Health Clinic","2021-09",18212.48
"Albany Community Health Clinic","2021-10",18642.8
"Albany Community Health Clinic","2021-11",15506.54
"Albany Community Health Clinic","2021-12",15542.79
"Albany Community Health Clinic","2022-01",12514.8
"Albany Community Health Clinic","2022-02",16055.49
"Albany Community Health Clinic","2022-03",16901.78
"Albany Community Health Clinic","2022-04",20015.68
"Albany Community Health Clinic","2022-05",18134.42
"Albany Community Health Clinic","2022-06",17457.97
"Albany Community Health Clinic","2022-07",18518.45
"Albany Community Health Clinic","2022-08",18383.92
"Albany Community Health Clinic","2022-09",22443.14
"Albany Community Health Clinic","2022-10",21335.67
"Albany Community Health Clinic","2022-11",20383.77
"Albany Community Health Clinic","2022-12",20793.98
"Albany Community Health Clinic","2023-01",20187.3
"Albany Community Health Clinic","2023-02",21505.45
"Albany Community Health Clinic","2023-03",17786.03
"Albany Community Health Clinic","2023-04",18906.06
"Albany Community Health Clinic","2023-05",19878.03
"Albany Community Health Clinic","2023-06",16263.12
"Albany Community Health Clinic","2023-07",15023.48
"Albany Community Health Clinic","2023-08",14506
"Albany Community Health Clinic","2023-09",10523.46
"Albany Community Health Clinic","2023-10",10889.24
"Albany Community Health Clinic","2023-11",12854.07
"Albany Community Health Clinic","2023-12",12742.2
"Albany Community Health Clinic","2024-01",13113.02
"Albany Community Health Clinic","2024-02",12742.2
"Albany Community Health Clinic","2024-03",12516.52
"Albany Community Health Clinic","2024-04",12879.78
"Albany Community Health Clinic","2024-05",12925.12
"Albany Community Health Clinic","2024-06",11701.49
"Albany Community Health Clinic","2024-07",10725.61
"Albany Community Health Clinic","2024-08",10855.27
"Albany Community Health Clinic","2024-09",10731.18
"Albany Community Health Clinic","2024-10",10692.25
"Albany Community Health Clinic","2024-11",14537.38
"Albany Community Health Clinic","2024-12",14509.28
"Albany Community Health Clinic","2025-01",14576.01
"Albany Community Health Clinic","2025-02",14572.5
"Albany Community Health Clinic","2025-03",2273.1
"Albany Community Health Clinic","2025-04",0
"American Heritage Center","2021-07",728.99
"American Heritage Center","2021-08",815.41
"American Heritage Center","2021-09",1720.58
"American Heritage Center","2021-10",867.67
"American Heritage Center","2021-11",721.13
"American Heritage Center","2021-12",3787.82
"American Heritage Center","2022-01",1706.21
"American Heritage Center","2022-02",1505.38
"American Heritage Center","2022-03",1551.18
"American Heritage Center","2022-04",1947.28
"American Heritage Center","2022-05",887.96
"American Heritage Center","2022-06",3123.73
"American Heritage Center","2022-07",1138.72
"American Heritage Center","2022-08",2050.48
"American Heritage Center","2022-09",2092.83
"American Heritage Center","2022-10",5.32907051820075e-15
"American Heritage Center","2022-11",0
"Animal Science","2021-07",24862.63
"Animal Science","2021-08",34117.56
"Animal Science","2021-09",26476.36
"Animal Science","2021-10",32112.56
"Animal Science","2021-11",25494.22
"Animal Science","2021-12",32023.54
"Animal Science","2022-01",34948.93
"Animal Science","2022-02",28265.29
"Animal Science","2022-03",28570.64
"Animal Science","2022-04",23536.86
"Animal Science","2022-05",27319.71
"Animal Science","2022-06",44127.53
"Animal Science","2022-07",42944.69
"Animal Science","2022-08",38037.84
"Animal Science","2022-09",33804.58
"Animal Science","2022-10",29395.08
"Animal Science","2022-11",31206.57
"Animal Science","2022-12",25009.38
"Animal Science","2023-01",30838.98
"Animal Science","2023-02",27188.51
"Animal Science","2023-03",23917.95
"Animal Science","2023-04",25004.26
"Animal Science","2023-05",23370.09
"Animal Science","2023-06",55167.29
"Animal Science","2023-07",17138.09
"Animal Science","2023-08",46023.32
"Animal Science","2023-09",16548.04
"Animal Science","2023-10",17727.84
"Animal Science","2023-11",15917.26
"Animal Science","2023-12",17624.59
"Animal Science","2024-01",26171.47
"Animal Science","2024-02",18656
"Animal Science","2024-03",49674.88
"Animal Science","2024-04",29543.22
"Animal Science","2024-05",36629.04
"Animal Science","2024-06",50661.86
"Animal Science","2024-07",52343.08
"Animal Science","2024-08",62233.3
"Animal Science","2024-09",43062.69
"Animal Science","2024-10",48913.1
"Animal Science","2024-11",35569.09
"Animal Science","2024-12",25502.46
"Animal Science","2025-01",38967.51
"Animal Science","2025-02",35557.41
"Animal Science","2025-03",31251.83
"Animal Science","2025-04",43937.06
"Animal Science","2025-05",29682.51
"Animal Science","2025-06",407.64
"Anthropology","2021-07",22047.7
"Anthropology","2021-08",13948.27
"Anthropology","2021-09",17012.61
"Anthropology","2021-10",12614.06
"Anthropology","2021-11",6068.78
"Anthropology","2021-12",1668.13
"Anthropology","2022-01",5545.85
"Anthropology","2022-02",4360.86
"Anthropology","2022-03",4311.92
"Anthropology","2022-04",5206.4
"Anthropology","2022-05",13595.08
"Anthropology","2022-06",7824.44
"Anthropology","2022-07",13335.79
"Anthropology","2022-08",24529.02
"Anthropology","2022-09",7783.14
"Anthropology","2022-10",7785.09
"Anthropology","2022-11",7370.85
"Anthropology","2022-12",3690.43
"Anthropology","2023-01",4229.6
"Anthropology","2023-02",2454.14
"Anthropology","2023-03",2042.16
"Anthropology","2023-04",10165.16
"Anthropology","2023-05",7917.84
"Anthropology","2023-06",8363.21
"Anthropology","2023-07",7016.79
"Anthropology","2023-08",8782.15
"Anthropology","2023-09",6100.92
"Anthropology","2023-10",3973.45
"Anthropology","2023-11",5219.27
"Anthropology","2023-12",5830.25
"Anthropology","2024-01",4956.14
"Anthropology","2024-02",6517.9
"Anthropology","2024-03",4017.13
"Anthropology","2024-04",3145.43
"Anthropology","2024-05",7082.12
"Anthropology","2024-06",6586.82
"Anthropology","2024-07",26217.45
"Anthropology","2024-08",9693.42
"Anthropology","2024-09",15302.83
"Anthropology","2024-10",5058.1
"Anthropology","2024-11",9289.89
"Anthropology","2024-12",4220.34
"Anthropology","2025-01",9703.11
"Anthropology","2025-02",4792.66
"Anthropology","2025-03",8432.38
"Anthropology","2025-04",3917.52
"Anthropology","2025-05",5008.47
"Atmospheric Science","2021-07",96240.07
"Atmospheric Science","2021-08",89560.4
"Atmospheric Science","2021-09",81199.39
"Atmospheric Science","2021-10",93200.08
"Atmospheric Science","2021-11",107406.75
"Atmospheric Science","2021-12",81929.28
"Atmospheric Science","2022-01",78450.28
"Atmospheric Science","2022-02",101604.17
"Atmospheric Science","2022-03",106924.59
"Atmospheric Science","2022-04",189306.24
"Atmospheric Science","2022-05",96358.69
"Atmospheric Science","2022-06",107677.58
"Atmospheric Science","2022-07",91352.78
"Atmospheric Science","2022-08",80722.27
"Atmospheric Science","2022-09",81778
"Atmospheric Science","2022-10",82572.64
"Atmospheric Science","2022-11",67996.92
"Atmospheric Science","2022-12",66220.01
"Atmospheric Science","2023-01",80201.19
"Atmospheric Science","2023-02",56784.22
"Atmospheric Science","2023-03",52286.11
"Atmospheric Science","2023-04",56968.28
"Atmospheric Science","2023-05",80087.56
"Atmospheric Science","2023-06",91426.2
"Atmospheric Science","2023-07",115234.36
"Atmospheric Science","2023-08",99983.51
"Atmospheric Science","2023-09",79153.59
"Atmospheric Science","2023-10",77426.59
"Atmospheric Science","2023-11",84984.02
"Atmospheric Science","2023-12",75632.01
"Atmospheric Science","2024-01",89447.34
"Atmospheric Science","2024-02",97453.8
"Atmospheric Science","2024-03",115210.47
"Atmospheric Science","2024-04",94284.54
"Atmospheric Science","2024-05",128987.43
"Atmospheric Science","2024-06",98750.29
"Atmospheric Science","2024-07",157948.25
"Atmospheric Science","2024-08",104066.46
"Atmospheric Science","2024-09",95038.55
"Atmospheric Science","2024-10",113795.72
"Atmospheric Science","2024-11",96783.16
"Atmospheric Science","2024-12",92218.64
"Atmospheric Science","2025-01",104900.47
"Atmospheric Science","2025-02",91292.72
"Atmospheric Science","2025-03",92310.7
"Atmospheric Science","2025-04",89206.26
"Atmospheric Science","2025-05",103183.17
"Atmospheric Science","2025-06",213.6
"Botany","2021-07",67653.62
"Botany","2021-08",111492.19
"Botany","2021-09",28521
"Botany","2021-10",51785.91
"Botany","2021-11",32072.58
"Botany","2021-12",27955.17
"Botany","2022-01",26575.48
"Botany","2022-02",41270.21
"Botany","2022-03",28533.3
"Botany","2022-04",33007.9
"Botany","2022-05",47976.99
"Botany","2022-06",62792.71
"Botany","2022-07",62568.57
"Botany","2022-08",49769.98
"Botany","2022-09",35485.78
"Botany","2022-10",30141.7
"Botany","2022-11",44407.42
"Botany","2022-12",38971.08
"Botany","2023-01",64802.91
"Botany","2023-02",44163.15
"Botany","2023-03",42241.09
"Botany","2023-04",42034.56
"Botany","2023-05",62669.82
"Botany","2023-06",53877
"Botany","2023-07",65181.94
"Botany","2023-08",39629.31
"Botany","2023-09",41182.25
"Botany","2023-10",26979.31
"Botany","2023-11",37137.76
"Botany","2023-12",115800.65
"Botany","2024-01",33114.42
"Botany","2024-02",37681.72
"Botany","2024-03",37186.96
"Botany","2024-04",46443.42
"Botany","2024-05",70675.43
"Botany","2024-06",86511.6
"Botany","2024-07",67917.55
"Botany","2024-08",58598.84
"Botany","2024-09",70508.31
"Botany","2024-10",39287.87
"Botany","2024-11",-428.8
"Botany","2024-12",37290.72
"Botany","2025-01",33417.36
"Botany","2025-02",44415.18
"Botany","2025-03",-5907.26
"Botany","2025-04",26429.92
"Botany","2025-05",32675.97
"Botany","2025-06",270.57
"COB Centers for Excellence","2021-11",4149.66
"COB Centers for Excellence","2021-12",3997.76
"COB Centers for Excellence","2022-01",494.84
"COB Centers for Excellence","2022-02",0
"COB Centers for Excellence","2022-06",997.2
"COB Centers for Excellence","2022-07",10369.12
"COB Centers for Excellence","2022-08",2957.81
"COB Centers for Excellence","2022-09",5315.48
"COB Centers for Excellence","2022-10",987.68
"COB Centers for Excellence","2022-11",422.16
"COB Centers for Excellence","2022-12",207.2
"COB Centers for Excellence","2023-01",3766.37
"COB Centers for Excellence","2023-02",4196.09
"COB Centers for Excellence","2023-03",2833.17
"COB Centers for Excellence","2023-04",1106.79
"COB Centers for Excellence","2023-05",1813.99
"COB Centers for Excellence","2023-06",5484.64
"COB Centers for Excellence","2023-07",1685.74
"COB Centers for Excellence","2023-08",7977.83
"COB Centers for Excellence","2023-09",10497.59
"COB Centers for Excellence","2023-10",6138.03
"COB Centers for Excellence","2023-11",4679.4
"COB Centers for Excellence","2023-12",1929.32
"COB Centers for Excellence","2024-02",2890.46
"COB Centers for Excellence","2024-03",2699.3
"COB Centers for Excellence","2024-04",6141.66
"COB Centers for Excellence","2024-05",9654.92
"COB Centers for Excellence","2024-06",15997.34
"COB Centers for Excellence","2024-08",9.98
"COB Centers for Excellence","2024-09",638.37
"COB Centers for Excellence","2024-10",665.5
"COB Centers for Excellence","2024-11",608.47
"COB Centers for Excellence","2024-12",359.07
"COB Centers for Excellence","2025-01",1605.42
"COB Centers for Excellence","2025-02",3734.59
"COB Centers for Excellence","2025-03",8688.79
"COB Centers for Excellence","2025-04",4945.12
"COB Centers for Excellence","2025-05",14579.8
"Campus Recreation","2021-07",387.4
"Campus Recreation","2021-08",436.18
"Campus Recreation","2021-09",1275.67
"Campus Recreation","2021-10",2566.43
"Campus Recreation","2021-11",1621.61
"Campus Recreation","2021-12",58.01
"Campus Recreation","2022-01",98.33
"Campus Recreation","2022-02",661.32
"Campus Recreation","2022-03",191.4
"Campus Recreation","2022-04",352.83
"Campus Recreation","2022-05",256.31
"Campus Recreation","2022-06",249.28
"Campus Recreation","2022-07",156.79
"Campus Recreation","2022-08",247.41
"Campus Recreation","2022-09",1046.06
"Campus Recreation","2022-10",1433.19
"Campus Recreation","2022-11",1395.52
"Campus Recreation","2022-12",337.56
"Campus Recreation","2023-01",668.88
"Campus Recreation","2023-02",1394.5
"Campus Recreation","2023-03",1040.23
"Campus Recreation","2023-04",1032.21
"Campus Recreation","2023-05",1040.26
"Campus Recreation","2023-06",536.18
"Campus Recreation","2023-07",604.89
"Campus Recreation","2023-08",557.13
"Campus Recreation","2023-09",843.42
"Campus Recreation","2023-10",926.41
"Campus Recreation","2023-11",1360.55
"Campus Recreation","2023-12",1002.51
"Campus Recreation","2024-01",721.24
"Campus Recreation","2024-02",779.77
"Campus Recreation","2024-03",941.46
"Campus Recreation","2024-04",846.67
"Campus Recreation","2024-05",913.75
"Campus Recreation","2024-06",540.8
"Campus Recreation","2024-07",572.01
"Campus Recreation","2024-08",460.06
"Campus Recreation","2024-09",1033.64
"Campus Recreation","2024-10",840.23
"Campus Recreation","2024-11",857.13
"Campus Recreation","2024-12",937.31
"Campus Recreation","2025-01",1574.34
"Campus Recreation","2025-02",1122.9
"Campus Recreation","2025-03",804.21
"Campus Recreation","2025-04",883.63
"Campus Recreation","2025-05",374.46
"Center of Innovation for Flow through Porous Media","2021-07",-451580.99
"Center of Innovation for Flow through Porous Media","2021-08",53395.53
"Center of Innovation for Flow through Porous Media","2021-09",44065.74
"Center of Innovation for Flow through Porous Media","2021-10",32200.39
"Center of Innovation for Flow through Porous Media","2021-11",31313.52
"Center of Innovation for Flow through Porous Media","2021-12",75133.83
"Center of Innovation for Flow through Porous Media","2022-01",43463.22
"Center of Innovation for Flow through Porous Media","2022-02",42924.83
"Center of Innovation for Flow through Porous Media","2022-03",62617.14
"Center of Innovation for Flow through Porous Media","2022-04",55195.76
"Center of Innovation for Flow through Porous Media","2022-05",58469.19
"Center of Innovation for Flow through Porous Media","2022-06",44553
"Center of Innovation for Flow through Porous Media","2022-07",43060.74
"Center of Innovation for Flow through Porous Media","2022-08",56585.34
"Center of Innovation for Flow through Porous Media","2022-09",22635.42
"Center of Innovation for Flow through Porous Media","2022-10",23551.1
"Center of Innovation for Flow through Porous Media","2022-11",21419.38
"Center of Innovation for Flow through Porous Media","2022-12",21920.61
"Center of Innovation for Flow through Porous Media","2023-01",2211.11
"Center of Innovation for Flow through Porous Media","2023-02",14600.89
"Center of Innovation for Flow through Porous Media","2023-03",9947.25
"Center of Innovation for Flow through Porous Media","2023-04",9919.76
"Center of Innovation for Flow through Porous Media","2023-05",8251.12
"Center of Innovation for Flow through Porous Media","2023-06",5790.17
"Center of Innovation for Flow through Porous Media","2023-07",23450.72
"Center of Innovation for Flow through Porous Media","2023-08",16354.84
"Center of Innovation for Flow through Porous Media","2023-09",7071.63
"Center of Innovation for Flow through Porous Media","2023-10",13830.24
"Center of Innovation for Flow through Porous Media","2023-11",11100.76
"Center of Innovation for Flow through Porous Media","2023-12",10953.9
"Center of Innovation for Flow through Porous Media","2024-01",9927.35
"Center of Innovation for Flow through Porous Media","2024-02",10682.64
"Center of Innovation for Flow through Porous Media","2024-03",12598.5
"Center of Innovation for Flow through Porous Media","2024-04",11149.19
"Center of Innovation for Flow through Porous Media","2024-05",411900.21
"Center of Innovation for Flow through Porous Media","2024-06",35545.24
"Center of Innovation for Flow through Porous Media","2024-07",34287.78
"Center of Innovation for Flow through Porous Media","2024-08",8470.47
"Center of Innovation for Flow through Porous Media","2024-09",20680.47
"Center of Innovation for Flow through Porous Media","2024-10",17587.07
"Center of Innovation for Flow through Porous Media","2024-11",13802.38
"Center of Innovation for Flow through Porous Media","2024-12",14116.8
"Center of Innovation for Flow through Porous Media","2025-01",135928.7
"Center of Innovation for Flow through Porous Media","2025-02",18809
"Center of Innovation for Flow through Porous Media","2025-03",9172.58
"Center of Innovation for Flow through Porous Media","2025-04",91314
"Center of Innovation for Flow through Porous Media","2025-05",30205.74
"Center of Innovation for Flow through Porous Media","2025-06",67.86
"Chemical & Biomedical Engineering","2021-07",39610.03
"Chemical & Biomedical Engineering","2021-08",23180.18
"Chemical & Biomedical Engineering","2021-09",15203.12
"Chemical & Biomedical Engineering","2021-10",16114.99
"Chemical & Biomedical Engineering","2021-11",19218.58
"Chemical & Biomedical Engineering","2021-12",12676.62
"Chemical & Biomedical Engineering","2022-01",22141.11
"Chemical & Biomedical Engineering","2022-02",11768.21
"Chemical & Biomedical Engineering","2022-03",15142.04
"Chemical & Biomedical Engineering","2022-04",16163.49
"Chemical & Biomedical Engineering","2022-05",39496.36
"Chemical & Biomedical Engineering","2022-06",53144.3
"Chemical & Biomedical Engineering","2022-07",40318.85
"Chemical & Biomedical Engineering","2022-08",9541.74
"Chemical & Biomedical Engineering","2022-09",7533.74
"Chemical & Biomedical Engineering","2022-10",7336.25
"Chemical & Biomedical Engineering","2022-11",18733.32
"Chemical & Biomedical Engineering","2022-12",14423.03
"Chemical & Biomedical Engineering","2023-01",11485.93
"Chemical & Biomedical Engineering","2023-02",2754.22
"Chemical & Biomedical Engineering","2023-03",9641.5
"Chemical & Biomedical Engineering","2023-04",4194.17
"Chemical & Biomedical Engineering","2023-05",14724.2
"Chemical & Biomedical Engineering","2023-06",24826.94
"Chemical & Biomedical Engineering","2023-07",33629.26
"Chemical & Biomedical Engineering","2023-08",7890.7
"Chemical & Biomedical Engineering","2023-09",11423.7
"Chemical & Biomedical Engineering","2023-10",8362.29
"Chemical & Biomedical Engineering","2023-11",11636.25
"Chemical & Biomedical Engineering","2023-12",11846.65
"Chemical & Biomedical Engineering","2024-01",8366.98
"Chemical & Biomedical Engineering","2024-02",10970.78
"Chemical & Biomedical Engineering","2024-03",8558.97
"Chemical & Biomedical Engineering","2024-04",10751.5
"Chemical & Biomedical Engineering","2024-05",27741.44
"Chemical & Biomedical Engineering","2024-06",41118.13
"Chemical & Biomedical Engineering","2024-07",33979.02
"Chemical & Biomedical Engineering","2024-08",25745.03
"Chemical & Biomedical Engineering","2024-09",21386.02
"Chemical & Biomedical Engineering","2024-10",21064.89
"Chemical & Biomedical Engineering","2024-11",18698.13
"Chemical & Biomedical Engineering","2024-12",15779.74
"Chemical & Biomedical Engineering","2025-01",15832.9
"Chemical & Biomedical Engineering","2025-02",28578.23
"Chemical & Biomedical Engineering","2025-03",17449.91
"Chemical & Biomedical Engineering","2025-04",7503.5
"Chemical & Biomedical Engineering","2025-05",29528.71
"Chemistry","2021-07",32840.12
"Chemistry","2021-08",24226.84
"Chemistry","2021-09",28099
"Chemistry","2021-10",20650.94
"Chemistry","2021-11",24635.4
"Chemistry","2021-12",16681.48
"Chemistry","2022-01",17448.23
"Chemistry","2022-02",25938.53
"Chemistry","2022-03",20424.04
"Chemistry","2022-04",18973.42
"Chemistry","2022-05",39636.39
"Chemistry","2022-06",53405.79
"Chemistry","2022-07",58508
"Chemistry","2022-08",29906.09
"Chemistry","2022-09",26473.63
"Chemistry","2022-10",21134.59
"Chemistry","2022-11",18285.23
"Chemistry","2022-12",22664.24
"Chemistry","2023-01",19459.16
"Chemistry","2023-02",24584.21
"Chemistry","2023-03",29243.49
"Chemistry","2023-04",24021.8
"Chemistry","2023-05",47580.63
"Chemistry","2023-06",66195.95
"Chemistry","2023-07",41302.01
"Chemistry","2023-08",42719.14
"Chemistry","2023-09",29564.04
"Chemistry","2023-10",25583.59
"Chemistry","2023-11",35516.51
"Chemistry","2023-12",25708.3
"Chemistry","2024-01",20469.13
"Chemistry","2024-02",42898.63
"Chemistry","2024-03",26621.46
"Chemistry","2024-04",24071.77
"Chemistry","2024-05",68091.82
"Chemistry","2024-06",38356.91
"Chemistry","2024-07",48024.28
"Chemistry","2024-08",46729.57
"Chemistry","2024-09",34502.84
"Chemistry","2024-10",23696.16
"Chemistry","2024-11",31736.11
"Chemistry","2024-12",22823.9
"Chemistry","2025-01",19959.13
"Chemistry","2025-02",19919.67
"Chemistry","2025-03",19454.05
"Chemistry","2025-04",18382.17
"Chemistry","2025-05",36193.7
"Chemistry","2025-06",320.2
"Civil & Architectural Engineering & Construction Management","2021-07",91596.6
"Civil & Architectural Engineering & Construction Management","2021-08",84366.85
"Civil & Architectural Engineering & Construction Management","2021-09",48877.11
"Civil & Architectural Engineering & Construction Management","2021-10",46458.56
"Civil & Architectural Engineering & Construction Management","2021-11",35328.4
"Civil & Architectural Engineering & Construction Management","2021-12",43875.3
"Civil & Architectural Engineering & Construction Management","2022-01",37633.24
"Civil & Architectural Engineering & Construction Management","2022-02",35175.38
"Civil & Architectural Engineering & Construction Management","2022-03",30763.03
"Civil & Architectural Engineering & Construction Management","2022-04",27571.59
"Civil & Architectural Engineering & Construction Management","2022-05",59827.86
"Civil & Architectural Engineering & Construction Management","2022-06",54796.25
"Civil & Architectural Engineering & Construction Management","2022-07",54627.96
"Civil & Architectural Engineering & Construction Management","2022-08",34081.86
"Civil & Architectural Engineering & Construction Management","2022-09",29353.61
"Civil & Architectural Engineering & Construction Management","2022-10",16414.25
"Civil & Architectural Engineering & Construction Management","2022-11",17422.16
"Civil & Architectural Engineering & Construction Management","2022-12",24994.7
"Civil & Architectural Engineering & Construction Management","2023-01",21626.41
"Civil & Architectural Engineering & Construction Management","2023-02",24412.19
"Civil & Architectural Engineering & Construction Management","2023-03",33654.8
"Civil & Architectural Engineering & Construction Management","2023-04",25550.13
"Civil & Architectural Engineering & Construction Management","2023-05",68732.12
"Civil & Architectural Engineering & Construction Management","2023-06",40160.22
"Civil & Architectural Engineering & Construction Management","2023-07",52161.99
"Civil & Architectural Engineering & Construction Management","2023-08",26446.64
"Civil & Architectural Engineering & Construction Management","2023-09",27630.49
"Civil & Architectural Engineering & Construction Management","2023-10",25037.6
"Civil & Architectural Engineering & Construction Management","2023-11",21849.99
"Civil & Architectural Engineering & Construction Management","2023-12",-16638.71
"Civil & Architectural Engineering & Construction Management","2024-01",26190.71
"Civil & Architectural Engineering & Construction Management","2024-02",26483.12
"Civil & Architectural Engineering & Construction Management","2024-03",14011.88
"Civil & Architectural Engineering & Construction Management","2024-04",38265.3
"Civil & Architectural Engineering & Construction Management","2024-05",122236.62
"Civil & Architectural Engineering & Construction Management","2024-06",91945.98
"Civil & Architectural Engineering & Construction Management","2024-07",104277.92
"Civil & Architectural Engineering & Construction Management","2024-08",106973.22
"Civil & Architectural Engineering & Construction Management","2024-09",71939.15
"Civil & Architectural Engineering & Construction Management","2024-10",51078.99
"Civil & Architectural Engineering & Construction Management","2024-11",42776.38
"Civil & Architectural Engineering & Construction Management","2024-12",39927.37
"Civil & Architectural Engineering & Construction Management","2025-01",35805.84
"Civil & Architectural Engineering & Construction Management","2025-02",23138.79
"Civil & Architectural Engineering & Construction Management","2025-03",21432.25
"Civil & Architectural Engineering & Construction Management","2025-04",23749.13
"Civil & Architectural Engineering & Construction Management","2025-05",38017.79
"Civil & Architectural Engineering & Construction Management","2025-06",2225.24
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2023-09",4.02
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-03",4756
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-04",8584.03
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-07",691.27
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-08",1531.51
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-09",1260.4
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-10",2317.58
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-11",178.79
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-12",142.18
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-01",662.94
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-02",47.98
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-03",490.8
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-04",178.04
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-05",3056.13
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-06",739.8
"College of Business Deans Office","2023-08",1643.74
"College of Business Deans Office","2023-09",457.99
"College of Business Deans Office","2023-10",549.83
"College of Business Deans Office","2023-11",448.13
"College of Business Deans Office","2023-12",290.13
