"Proposal #","Admin Unit","Instrument Type","PI.x","sponsor type","Prime Sponsor","Project End Date","Project Start Date","Project Title","Proposal Type","Sponsor","Status","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","College/Division","Total Sponsor Costs","Comments","Date","Year","PI.y","Title","Agency","Program","Completion Date","Internal","External","Other","Awarded_Status_By_TIG","Comment by Nick","Correct_Proposal_Status"
"23-0493-P0002","Molecular Biology",,"David S. Fay","U.S. Federal Government",,"6/30/2030","7/1/2025","In vivo regulation of the extracellular matrix","Renewal","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2024-05-31 22:00:00,2025-06-20 14:38:53,2025-06-24 15:12:02,,"FY2024","FY2025","FY2025",,2024-04-25 14:37:08,"FY2024",36,389,,"Agriculture",2859800,,,,,,,,,,,,,,
"23-0498-P0002","Psychology",,"Cynthia M. Hartung","Non-Profit Organizations",,"6/30/2026","4/15/2025","Riding for Focus in PE on Life Skills Development-Participation in Extracurricular Cycling Opps in Middle School Students"" and ""Acute Effects of High-Intensity Interval Training via Cycling on Executive Functioning in Middle School Students with ADHD""","Non-Competing Continuation","Outride","Funded",2025-04-28 20:09:43,2025-04-28 14:10:10,2025-05-02 13:55:46,,"FY2025","FY2025","FY2025",,2025-04-03 09:05:17,"FY2025",25,4,,"Arts & Sciences",28028,,,,,,,,,,,,,,
"23-0510-P0002","Atmospheric Science",,"Bart Geerts","U.S. Federal Government",,"4/30/2024","5/1/2019","Numerical Simulations of Cold Air Outbreaks Using a Multi-Scale Modeling Framework","Supplement","U.S. Department of Energy","Funded",2024-02-26 17:38:02,,2024-02-26 10:38:59,,"FY2024",,"FY2024",,2023-08-15 10:46:09,"FY2024",195,0,,"Engineering",207794,,,,,,,,,,,,,,
"23-0530-P0002","Plant Sciences",,"Andrew R. Kniss","Industry",,"10/31/2027","6/2/2020","Weed Management in Sugarbeet","Supplement","Betaseed, Inc.","Funded",2024-07-02 14:42:00,2024-08-01 15:13:03,2024-09-27 10:13:01,,"FY2025","FY2025","FY2025",,2024-06-25 10:44:03,"FY2024",7,87,,"Agriculture",24000,,,,,,,,,,,,,,
"23-0551-P0002","Wyoming Survey & Analysis Center",,"Michael D. Dorssom","Wyoming State Governmental Entities",,"1/31/2027","10/15/2025","Conduct the 2020 WYDOT Customer Satisfaction Survey, statewide and the 2021 Agency-wide WYDOT Employee Satisfaction Survey","Competing Continuation","Wyoming Department of Transportation","Submitted to Sponsor",2025-07-02 17:25:05,,,,"FY2026",,,,2025-06-17 13:37:52,"FY2025",15,,,"Research & Economic Development",70486.94,,,,,,,,,,,,,,
"23-0560-P0002","Plant Sciences",,"Andrew R. Kniss","Industry",,"3/9/2029","4/5/2024","Herbicide Evaluation Program","Supplement","Nufarm Americas, Inc.","Funded",2025-02-10 16:53:02,,2025-02-10 09:53:48,,"FY2025",,"FY2025",,2025-01-09 12:24:47,"FY2025",32,0,,"Agriculture",6000,,,,,,,,,,,,,,
"23-0589-P0002","Wyo Natural Diversity Database",,"Ian M. Abernethy","U.S. Federal Government",,"12/31/2026","4/15/2024","Priority Species (Bats) Monitoring and Surveillance","Supplement","Forest Service/Department of Agriculture","Funded",2024-05-14 13:56:26,2024-05-14 07:56:56,2024-05-14 07:57:24,,"FY2024","FY2024","FY2024",,2024-03-12 07:30:09,"FY2024",63,0,,"Research & Economic Development",32000,,,,,,,,,,,,,,
"23-0589-P0003","Wyo Natural Diversity Database",,"Ellen Whittle","U.S. Federal Government",,"12/31/2026","4/15/2024","Priority Species (Bats) Monitoring and Surveillance","Supplement","Forest Service/Department of Agriculture","Submitted to Sponsor",2025-06-26 22:35:40,,,,"FY2025",,,,2025-05-22 09:25:46,"FY2025",36,,,"Research & Economic Development",20000,,,,,,,,,,,,,,
"23-0618-P0002","Ecosystem Science & Management",,"Virginia B. Paige","U.S. Federal Government",,"9/30/2027","10/1/2023","Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits","Non-Competing Continuation","National Oceanic and Atmospheric Administration/Department of Commerce","Funded",2023-08-25 16:05:17,2023-09-01 08:24:27,2023-09-15 13:31:08,,"FY2024","FY2024","FY2024",,2023-08-19 14:16:38,"FY2024",6,21,,"Agriculture",1744684,,,,,,,,,,,,,,
"23-0618-P0003","Ecosystem Science & Management",,"Virginia B. Paige","U.S. Federal Government",,"9/30/2026","8/15/2024","Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits","Other","Department of the Army","Funded",2024-09-23 22:45:35,,2024-09-25 09:41:39,,"FY2025",,"FY2025",,2024-08-26 15:48:27,"FY2025",28,1,,"Agriculture",261635,,,,,,,,,,,,,,
"23-0620-P0002","Wyoming Coop Unit",,"Jerod Andrew Merkle","Wyoming Local Governmental Entities",,"12/31/2025","5/1/2024","An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","New","Wyoming Game and Fish Department","Funded",2024-02-19 20:36:11,2024-03-26 15:52:56,2024-08-15 11:37:37,,"FY2024","FY2024","FY2025",,2024-01-29 09:37:28,"FY2024",21,178,,"Agriculture",50436,,,,,,,,,,,,,,
"23-0640-P0002","Wyoming Coop Unit",,"Annika Walters","U.S. Federal Government",,"11/11/2025","11/12/2020","Drought, water availability, and the implications for fish, 3/27/2020.","Supplement","U.S. Geological Survey/Department of the Interior","Funded",2023-06-15 20:34:18,,2023-09-06 18:02:15,,"FY2023",,"FY2024",,2023-06-08 09:18:30,"FY2023",7,83,,"Agriculture",76497,,,,,,,,,,,,,,
"23-0645-P0002","School of Energy Resources Directors Office",,"Jonathan Fred McLaughlin","Industry",,"4/30/2025","7/15/2024","Rare Earth Element in Coals","New","Leidos","Funded",2024-07-02 21:52:46,,2024-07-18 13:53:15,,"FY2025",,"FY2025",,2024-06-18 11:16:58,"FY2024",14,16,,"School of Energy Resources",197916,,,,,,,,,,,,,,
"23-0686-P0002","Center of Innovation for Flow through Porous Media",,"Mohammad Piri","Foreign Organizations",,"3/26/2027","9/27/2024","Experimental and Numerical Studies of Two-phase Flow Dynamics in Carbonate Reservoir Core Samples","Non-Competing Continuation","Shell Brasil Petroleo LTDA","Funded",2024-11-15 22:45:47,,2024-11-15 15:45:54,,"FY2025",,"FY2025",,2024-05-01 09:59:37,"FY2024",199,0,,"Research & Economic Development",1874000,,,,,,,,,,,,,,
"23-0696-P0002","Plant Sciences",,"Andrew R. Kniss","Industry",,"3/30/2029","4/5/2024","Herbicide Evaluation Program (AMVAC)","Supplement","AMVAC Chemical Corporation","Funded",2025-02-10 16:53:22,,2025-02-10 09:53:42,,"FY2025",,"FY2025",,2025-01-09 10:54:20,"FY2025",32,0,,"Agriculture",12100,,,,,,,,,,,,,,
"23-0733-P0002","Molecular Biology",,"Daniel M. Wall","U.S. Federal Government",,"3/31/2031","4/1/2026","Self-nonself recognition and multicellularity in myxobacteria","Renewal","National Institutes of Health/Department of Health and Human Services","Submitted to Sponsor",2025-05-15 19:46:20,,,,"FY2025",,,,2025-04-29 09:17:54,"FY2025",16,,,"Agriculture",1695000,,,,,,,,,,,,,,
"23-0768-P0002","Geology & Geophysics",,"Kenneth Warren Sims","U.S. Federal Government",,"4/30/2026","5/1/2021","Collaborative Research: Volatile sources, eruption triggers, and magma ascent rates for mafic alkaline magmas at Nyiragongo and Nyamulagira volcanoes, DR Congo, East African Rift","Supplement","National Science Foundation","Funded",2025-05-28 15:30:27,2025-05-28 09:31:04,2025-07-17 09:39:02,,"FY2025","FY2025","FY2026",,2025-03-06 09:25:10,"FY2025",83,50,,"Engineering",25032,,,,,,,,,,,,,,
"23-0840-P0002","Wyoming Coop Unit",,"Matthew Kauffman","U.S. Federal Government",,"8/31/2024","9/1/2023","Rocky Mountain CESU (RMCESU) WY Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd","Supplement","Bureau of Land Management/Department of the Interior","Funded",2023-07-28 16:16:55,,2023-09-25 13:21:47,,"FY2024",,"FY2024",,2023-06-08 09:56:20,"FY2023",50,59,,"Agriculture",50000,,,,,,,,,,,,,,
"23-0856-P0002","School of Teacher Education",,"Nikki Adele Baldwin","Wyoming State Governmental Entities",,"6/30/2024","7/1/2023","Manage and operate the Wyoming Early Childhood Professional Learning Collaborative","New","Wyoming Workforce Services","Funded",2023-07-26 15:57:02,,2024-11-22 14:23:40,,"FY2024",,"FY2025",,2023-07-10 12:54:14,"FY2024",16,485,,"Education",95000,,,,,,,,,,,,,,
"23-0861-P0002","Wyoming Survey & Analysis Center",,"Laura L Feldman","Other State and Local Governmental Entities",,"6/29/2024","8/29/2023","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Non-Competing Continuation","New Mexico Department of Health","Funded",2023-10-18 15:37:16,,2023-10-18 09:37:25,,"FY2024",,"FY2024",,2023-10-11 09:31:30,"FY2024",7,0,,"Research & Economic Development",85000,,,,,,,,,,,,,,
"23-0861-P0003","Wyoming Survey & Analysis Center",,"Humphrey John Costello",,,"6/30/2024","8/29/2023","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Non-Competing Continuation","New Mexico Department of Health","Funded",2023-10-17 14:20:46,,2023-10-17 08:21:07,,"FY2024",,"FY2024",,2023-10-11 10:52:03,"FY2024",6,0,,"Research & Economic Development",85000,,,,,,,,,,,,,,
"23-0861-P0004","Wyoming Survey & Analysis Center",,"Humphrey John Costello","Other State and Local Governmental Entities",,"6/30/2025","7/1/2024","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Non-Competing Continuation","New Mexico Department of Health","Funded",2024-06-26 16:04:09,,2024-08-19 12:40:06,,"FY2024",,"FY2025",,2024-05-24 11:30:52,"FY2024",33,54,,"Research & Economic Development",65000,,,,,,,,,,,,,,
"23-0861-P0006","Wyoming Survey & Analysis Center",,"Humphrey John Costello","Other State and Local Governmental Entities",,"6/30/2026","7/1/2025","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Non-Competing Continuation","New Mexico Department of Health","Submitted to Sponsor",2025-06-27 13:09:20,,,,"FY2025",,,,2025-06-18 10:49:41,"FY2025",9,,,"Research & Economic Development",45000,,,,,,,,,,,,,,
"23-0861-P0007","Wyoming Survey & Analysis Center",,"Humphrey John Costello","Other State and Local Governmental Entities",,"6/30/2026","7/1/2025","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Non-Competing Continuation","New Mexico Department of Health","Submitted to Sponsor",2025-06-27 13:08:49,,,,"FY2025",,,,2025-06-18 11:45:40,"FY2025",9,,,"Research & Economic Development",65000,,,,,,,,,,,,,,
"23-0914-P0002","School of Teacher Education",,"Nikki Adele Baldwin","Wyoming State Governmental Entities",,"6/30/2026","7/1/2025","Wyoming Early Childhood Professionals and the Wyoming Early Childhood Professional Learning Collaborative","Non-Competing Continuation","Wyoming Department of Family Services","Funded",2025-07-16 19:17:02,,2025-07-16 13:17:18,,"FY2026",,"FY2026",,2025-07-03 08:59:30,"FY2026",13,0,,"Education",500500,,,,,,,,,,,,,,
"23-0946-P0002","Wyoming Coop Unit",,"Matthew Kauffman","U.S. Federal Government",,"12/31/2025","9/20/2021","RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362","Supplement","U.S. Geological Survey/Department of the Interior","Funded",2023-10-03 16:33:09,,2023-10-23 14:25:16,,"FY2024",,"FY2024",,2023-06-08 09:21:42,"FY2023",117,20,,"Agriculture",777623,,,,,,,,,,,,,,
"23-0946-P0003","Wyoming Coop Unit",,"Matthew Kauffman","U.S. Federal Government",,"12/31/2025","9/20/2021","RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362","Supplement","U.S. Geological Survey/Department of the Interior","Funded",2023-12-14 21:39:01,,2025-05-05 15:25:26,,"FY2024",,"FY2025",,2023-10-26 09:15:48,"FY2024",50,508,,"Agriculture",275000,,,,,,,,,,,,,,
"23-0946-P0004","Wyoming Coop Unit",,"Matthew Kauffman","U.S. Federal Government",,"9/19/2026","9/20/2021","RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362","New","U.S. Geological Survey/Department of the Interior","Funded",2024-06-20 19:28:07,,2025-05-05 16:34:11,,"FY2024",,"FY2025",,2024-04-25 19:10:52,"FY2024",56,319,,"Agriculture",357193.86,,,,,,,,,,,,,,
"23-0946-P0005","Wyoming Coop Unit",,"Matthew Kauffman","U.S. Federal Government",,"9/19/2026","9/20/2021","RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362","Other","U.S. Geological Survey/Department of the Interior","Funded",2025-03-26 15:58:33,,2025-05-05 16:24:37,,"FY2025",,"FY2025",,2025-03-25 11:21:13,"FY2025",1,40,,"Agriculture",88178,,,,,,,,,,,,,,
"23-0948-P0002","Wyoming Coop Unit",,"Anna Lisa D. Chalfoun","U.S. Federal Government",,"12/31/2024","9/1/2023","Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).","New","U.S. Fish & Wildlife Service/Department of the Interior","Closed",2023-07-28 16:17:38,,,,"FY2024",,,,2023-06-06 14:51:38,"FY2023",52,,,"Agriculture",31500,,,,,,,,,,,,,,
"23-0948-P0003","Wyoming Coop Unit",,"Anna Lisa D. Chalfoun","U.S. Federal Government",,"9/15/2025","9/15/2021","Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).","Supplement","U.S. Geological Survey/Department of the Interior","Funded",2023-06-15 20:35:06,,2023-10-23 14:27:25,,"FY2023",,"FY2024",,2023-06-08 09:20:09,"FY2023",7,130,,"Agriculture",70432,,,,,,,,,,,,,,
"23-0948-P0004","Wyoming Coop Unit",,"Anna Lisa D. Chalfoun","U.S. Federal Government",,"9/15/2026","9/16/2021","Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).","Non-Competing Continuation","U.S. Geological Survey/Department of the Interior","Not Submitted to Sponsor",2024-06-18 21:34:19,,,,"FY2024",,,,2024-04-25 19:06:19,"FY2024",54,,,"Agriculture",66636,,,,,,,,,,,,,,
"23-0949-P0002","Wyo Natural Diversity Database",,"Gary P. Beauvais","U.S. Federal Government",,"6/30/2026","7/1/2025","Natural Diversity Data Exchange and future collaboration and project development for species conservation","New","Forest Service/Department of Agriculture","Submitted to Sponsor",2025-05-30 16:50:53,,,,"FY2025",,,,2025-04-17 14:17:45,"FY2025",43,,,"Research & Economic Development",25000,,,,,,,,,,,,,,
"23-0949-P0003","Wyo Natural Diversity Database",,"Gary P. Beauvais","U.S. Federal Government",,"12/31/2028","7/1/2025","Natural Diversity Data Exchange and future collaboration and project development for species conservation","New","Forest Service/Department of Agriculture","Submitted to Sponsor",2025-07-02 17:42:23,,,,"FY2026",,,,2025-06-03 15:49:31,"FY2025",29,,,"Research & Economic Development",56500,,,,,,,,,,,,,,
"23-0970-P0002","Wyoming Survey & Analysis Center",,"Laran Henry Despain","Wyoming State Governmental Entities",,"4/30/2026","7/1/2025","Response to RFP 0218-F WYOMING TOBACCO PREVENTION AND CONTROL PROGRAM EVALUATION AND SURVEILLANCE SERVICES","Renewal","Wyoming Department of Health","Under Consideration",2025-04-02 21:48:25,2025-04-29 13:48:19,,,"FY2025","FY2025",,,2025-03-06 11:26:28,"FY2025",27,,,"Research & Economic Development",107822.48,,,,,,,,,,,,,,
"23-1017-P0002","Mechanical Engineering",,"Xiang Zhang","U.S. Federal Government",,"4/30/2025","8/1/2024","Collaborative Research: An Integrated Multiscale Reduced-Order Modeling and Experimental Framework for Lithium-ion Batteries under Mechanical Abuse Conditions","Supplement","National Science Foundation","Funded",2024-08-01 20:50:18,,2024-08-01 14:50:31,,"FY2025",,"FY2025",,2024-07-19 11:06:05,"FY2025",13,0,,"Engineering",54950,,,,,,,,,,,,,,
"23-1018-P0002","Mathematics & Statistics",,"Stefan Heinz","U.S. Federal Government",,"12/31/2024","1/1/2022","Mesoscale to Microscale Coupling Using Continuous Eddy Simulation","Supplement","National Science Foundation","Closed",2024-05-23 15:28:15,,2025-05-05 16:35:09,,"FY2024",,"FY2025",,2024-05-22 11:02:45,"FY2024",1,347,,"Engineering",62914,,,,,,,,,,,,,,
"23-1066-P0002","Wyoming Institute for Disabilities WIND",,"Canyon Leigh Hardesty","Wyoming State Governmental Entities",,"8/31/2027","5/1/2025","Next Steps Assessment Clinic for the Wyoming Department of Education Wyoming Project for Children and Youth Who are Deaf-Blind","Supplement","Wyoming Department of Education","Under Consideration",2025-04-03 19:07:17,2025-04-03 13:09:11,,,"FY2025","FY2025",,,2025-02-26 10:01:11,"FY2025",36,,,"Health Sciences",5000,,,,,,,,,,,,,,
"23-1091-P0002","Psychology",,"Kayla A Burd","U.S. Federal Government",,"5/14/2029","9/1/2024","Graduate Research Fellowship Program (GRFP) 2021-2026","New","National Science Foundation","Funded",2024-06-26 13:25:25,,2024-07-08 15:25:45,,"FY2024",,"FY2025",,2024-04-30 08:39:41,"FY2024",57,12,,"Arts & Sciences",159000,,,,,,,,,,,,,,
"23-1111-P0002","Mechanical Engineering",,"Jonathan W. Naughton","U.S. Federal Government",,"4/15/2022","2/15/2022","Development and Application of Oil-Film Interferometry for Flow Physics and Code Validation Experiments","New","National Institute of Aerospace","Funded",2024-03-25 15:02:33,,2024-12-23 10:35:08,,"FY2024",,"FY2025",,2023-06-30 15:17:06,"FY2023",269,273,,"Engineering",24750,,,,,,,,,,,,,,
"23-1122-P0002","Wyoming Coop Unit",,"Matthew Kauffman","U.S. Federal Government",,"6/30/2025","6/1/2022","Mapping bison migrations in Yellowstone National Park","New","National Park Service/Department of the Interior","Submitted to Sponsor",2024-03-12 22:02:18,,,,"FY2024",,,,2024-02-29 10:41:30,"FY2024",12,,,"Agriculture",15000,,,,,,,,,,,,,,
"23-1130-P0002","Ecosystem Science & Management",,"Jeffrey L. Beck","Non-Profit Organizations",,"8/30/2024","6/1/2023","Range-Wide Seasonal Habitat Models for Greater Sage-grouse","Other","Pheasants Forever","Funded",2024-04-24 21:54:43,,2024-04-24 15:55:03,,"FY2024",,"FY2024",,2024-01-09 09:40:46,"FY2024",107,0,,"Agriculture",5000,,,,,,,,,,,,,,
"23-1165-P0002","UW Extension",,"Jenna Meeks","Institutions of Higher Education","National Institute of Food and Agriculture/Department of Agriculture","12/31/2025","1/1/2024","Western SARE Professional Development Program Administrative Subaward","Non-Competing Continuation","Montana State University","Funded",2023-09-01 21:43:56,,2024-02-27 11:18:28,,"FY2024",,"FY2024",,2023-09-01 14:11:51,"FY2024",0,179,,"Agriculture",348128,,,,,,,,,,,,,,
"23-1165-P0003","UW Extension",,"Jenna Meeks","Institutions of Higher Education","National Institute of Food and Agriculture/Department of Agriculture","8/31/2025","9/1/2024","Western SARE Professional Development Program Administrative Subaward","Non-Competing Continuation","Montana State University","Funded",2024-04-11 14:39:38,,2024-04-25 16:35:29,,"FY2024",,"FY2024",,2024-04-05 10:09:23,"FY2024",6,14,,"Agriculture",555571,,,,,,,,,,,,,,
"23-1173-P0002","Wyoming Institute for Disabilities WIND",,"Canyon Leigh Hardesty","Wyoming State Governmental Entities",,"2/28/2026","3/1/2025","National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","Competing Continuation","Wyoming Department of Education","Funded",2024-12-19 18:07:40,2024-12-19 11:08:01,2025-03-31 15:04:24,,"FY2025","FY2025","FY2025",,2024-11-26 12:17:10,"FY2025",23,102,,"Health Sciences",107870,,,,,,,,,,,,,,
"23-1179-P0002","Haub School of Environment & Natural Resources",,"Tyler Joe Carroll","Non-Profit Organizations",,"12/31/2024","5/24/2024","The Absaroka Fence Initiative, Fencing Project","New","Absaroka Fence Initiative","Funded",2024-06-25 18:16:08,,2024-08-13 08:56:59,,"FY2024",,"FY2025",,2024-04-30 16:36:35,"FY2024",56,49,,"Haub School of Environment & Natural Resources",15000,,,,,,,,,,,,,,
"23-1190-P0002","Small Business Development Center",,"Jill K Kline","U.S. Federal Government",,"4/30/2024","5/1/2023","Portable Assistance Program Funding Opportunity Number OSBDC-2020-03 Multi-Year (3) project Option Year 1- On Campus","Supplement","Small Business Administration","Funded",2023-07-20 18:00:57,,2023-07-20 12:01:15,,"FY2024",,"FY2024",,2023-07-19 15:38:26,"FY2024",1,0,,"Research & Economic Development",100000,,,,,,,,,,,,,,
"23-1210-P0002","Haub School of Environment & Natural Resources",,"Tyler Joe Carroll","U.S. Federal Government",,"11/1/2025","8/1/2024","Trail Work on the Continental Divide National Scenic Trail","Non-Competing Continuation","Forest Service/Department of Agriculture","Funded",2024-07-22 20:04:46,2024-07-22 14:05:02,2024-07-25 14:40:44,,"FY2025","FY2025","FY2025",,2024-07-19 16:39:45,"FY2025",3,3,,"Haub School of Environment & Natural Resources",31000,,,,,,,,,,,,,,
