"Project Number","Project Fund Source","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Reduced_FA","subawards subcontracts","Approval_Required","Chemical_or_Hazard","Foreign_Involvement","Technology_or_IP_Involved","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"240590A0001","Others","Research - Sponsored",6,4,1127,"Spring",28470.96,"Reduced Indirect Cost On Campus","No","Unknown","No","Yes","No",68,2024-02-09,2024-04-17
"240612A0001","Federal","Research - Sponsored",3,5,1460,"Summer",27731,"No Reduction","No","Unknown","No","No","No",76,2024-08-15,2024-10-30
"240635A0002","Federal","Research - Sponsored",29,4,637,"Fall",125000,"No Reduction","No","Unknown","No","No","No",93,2024-10-01,2025-01-02
"240709A0001","State","Research - Sponsored",12,5,913,"Summer",21907,"Reduced Indirect Cost On Campus","No","Yes","No","No","No",80,2024-07-01,2024-09-19
"240712A0003","Others","Research - Sponsored",12,4,1040,"Spring",5000,"No Reduction","No","Unknown","No","No","No",120,2025-02-24,2025-06-24
"240747A0001","Federal","Research - Sponsored",1,5,729,"Summer",63173.77,"Reduced Indirect Cost On Campus","No","Unknown","No","No","Yes",52,2024-08-14,2024-10-05
"240767A0002","Others","Research - Sponsored",2,7,364,"Fall",405001,"No Reduction","No","Unknown","No","No","No",39,2024-11-01,2024-12-10
"240782A0001","State","Research - Sponsored",5,4,1128,"Spring",5400,"No Reduction","No","Unknown","No","No","No",84,2024-03-28,2024-06-20
"240783A0001","State","Others",6,4,439,"Fall",43652,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",38,2024-10-18,2024-11-25
"240895A0001","Others","Research - Sponsored",3,4,564,"Summer",5700,"Reduced Indirect Cost On Campus","No","Yes","No","Yes","No",66,2024-06-14,2024-08-19
"240920A0001","State","Others",22,3,631,"Spring",680000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",28,2025-01-07,2025-02-04
"240922A0001","Others","Research - Sponsored",29,5,1947,"Spring",176140.5,"No Reduction","No","Unknown","No","No","Yes",62,2024-05-02,2024-07-03
"240983A0001","Federal","Research - Sponsored",7,4,1582,"Fall",77681,"Reduced Indirect Cost On Campus","No","Yes","No","No","No",96,2024-09-01,2024-12-06
"240986A0001","Others","Research - Sponsored",6,7,639,"Spring",0,"No Reduction","No","Unknown","No","No","No",109,2024-04-01,2024-07-19
"240996A0001","State","Others",7,5,2013,"Summer",7610,"No Reduction","No","Unknown","No","No","No",78,2024-06-27,2024-09-13
"241020A0002","State","Others",25,5,1503,"Spring",168712,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",67,2025-05-19,2025-07-25
"241022A0001","Federal","Research - Sponsored",3,3,620,"Summer",55000,"Reduced Indirect Cost Off Campus","No","Yes","No","No","No",29,2024-08-19,2024-09-17
"241055A0001","Others","Others",32,6,332,"Fall",29787,"No Reduction","No","Unknown","No","No","No",70,2024-09-01,2024-11-10
"250036A0002","Others","Research - Sponsored",1,5,273,"Spring",30540,"No Reduction","No","Unknown","No","No","No",47,2025-03-17,2025-05-03
"250048A0001","Federal","Research - Sponsored",4,5,729,"Spring",214623,"No Reduction","No","Yes","No","No","Yes",43,2025-01-28,2025-03-12
"250061A0001","Federal","Others",9,7,1825,"Fall",156879,"Reduced Indirect Cost Off Campus","No","Unknown","No","No","No",28,2024-10-01,2024-10-29
"250073A0001","Others","Research - Sponsored",2,6,1094,"Fall",1,"No Reduction","No","Unknown","No","No","Yes",136,2024-09-01,2025-01-15
"250088A0001","Others","Research - Sponsored",2,3,3277,"Fall",109351,"No Reduction","No","Yes","No","No","No",50,2024-09-11,2024-10-31
"250119A0001","Others","Research - Sponsored",2,7,439,"Fall",1,"No Reduction","No","Unknown","No","No","No",102,2024-12-16,2025-03-28
"250133A0001","Federal","Others",32,5,1825,"Fall",32964,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",163,2024-10-01,2025-03-13
"250154A0002","State","Others",3,7,154,"Spring",121875,"No Reduction","No","Unknown","No","No","No",38,2025-01-27,2025-03-06
"250176A0001","Others","Research - Sponsored",2,5,364,"Spring",55795,"No Reduction","Yes","Yes","No","No","No",45,2025-03-01,2025-04-15
"250254A0001","Federal","Research - Sponsored",1,7,456,"Fall",181696,"No Reduction","No","Yes","No","No","No",33,2024-11-01,2024-12-04
"250256A0001","Federal","Research - Sponsored",6,5,1095,"Summer",20000,"No Reduction","No","Unknown","No","No","No",86,2025-06-01,2025-08-26
"250285A0001","Federal","Research - Sponsored",2,4,533,"Spring",298882,"No Reduction","Yes","Unknown","No","No","No",33,2025-04-15,2025-05-18
"250289A0001","Others","Research - Sponsored",1,3,1794,"Fall",12000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","Yes",80,2024-11-01,2025-01-20
"250345A0001","Federal","Research - Sponsored",6,5,1095,"Spring",30000,"No Reduction","No","Unknown","No","No","No",79,2025-04-07,2025-06-25
"250370A0001","State","Others",2,4,502,"Spring",31000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","Yes",34,2025-02-17,2025-03-23
"250376A0001","Others","Research - Sponsored",12,4,1736,"Spring",7350,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",124,2024-05-01,2024-09-02
"250403A0001","State","Others",3,3,122,"Spring",32588.14,"No Reduction","No","Unknown","No","No","No",37,2025-05-01,2025-06-07
"250407A0001","State","Others",1,7,123,"Spring",11285.5,"Reduced Indirect Cost Off Campus","No","Unknown","No","No","No",26,2025-05-01,2025-05-27
"250426A0001","State","Others",3,10,184,"Spring",85187,"No Reduction","No","Unknown","No","No","No",38,2025-01-29,2025-03-08
"250452A0001","State","Research - Sponsored",29,5,911,"Spring",210192.8,"No Reduction","No","Unknown","No","No","Yes",88,2025-02-27,2025-05-26
"250463A0001","Others","Research - Sponsored",10,4,681,"Spring",4521,"Reduced Indirect Cost On Campus","No","Yes","No","No","No",104,2025-02-18,2025-06-02
"250487A0001","Others","Research - Sponsored",1,8,364,"Spring",4000,"No Reduction","No","Unknown","No","No","Yes",76,2025-03-01,2025-05-16
"250499A0001","Others","Research - Sponsored",24,4,315,"Spring",20000,"Reduced Indirect Cost On Campus","No","Yes","No","No","No",61,2025-02-19,2025-04-21
"250512A0001","Others","Research - Sponsored",23,3,364,"Summer",5000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",74,2025-06-01,2025-08-14
"250517A0001","State","Others",7,3,545,"Spring",4000,"No Reduction","No","Unknown","No","No","No",74,2025-01-01,2025-03-16
"250539A0001","State","Others",13,4,871,"Spring",140000,"No Reduction","No","Unknown","No","No","No",66,2025-05-12,2025-07-17
"250568A0001","Others","Research - Sponsored",2,3,153,"Summer",35779.17,"No Reduction","No","Unknown","No","Yes","No",38,2025-08-01,2025-09-08
"250578A0001","Others","Research - Sponsored",23,3,279,"Spring",6950,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",58,2025-04-28,2025-06-25
"250581A0001","State","Research - Sponsored",8,5,343,"Spring",3750,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",43,2025-05-22,2025-07-04
"250584A0001","Others","Research - Sponsored",2,4,396,"Spring",10000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",71,2025-05-01,2025-07-11
"250616A0001","Others","Research - Sponsored",1,4,364,"Spring",5000,"Reduced Indirect Cost On Campus","No","Yes","No","No","No",81,2025-04-01,2025-06-21
"250637A0001","Others","Others",13,5,1127,"Spring",461010,"Reduced Indirect Cost Off Campus","No","Unknown","No","No","No",24,2025-05-30,2025-06-23
"250650A0001","State","Research - Sponsored",12,4,343,"Spring",0,"Reduced Indirect Cost On Campus","No","Unknown","Yes","No","No",19,2025-05-22,2025-06-10
"250651A0001","State","Others",12,4,344,"Spring",14100,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",30,2025-05-21,2025-06-20
"250652A0001","Others","Others",8,4,505,"Spring",0,"No Reduction","No","Unknown","No","No","No",96,2025-05-13,2025-08-17
"250666A0001","State","Research - Sponsored",4,4,364,"Summer",51840,"No Reduction","No","Unknown","No","No","No",50,2025-07-01,2025-08-20
